"id","title","content","tags"
"38","Does resting the dough for a long time reduce the need to knead the bread?","<p>In this <a href=""http://www.chefmichaelsmith.ca/en/home/MichaelsJournal/realbreadstory.aspx"" rel=""nofollow"">article</a> by Chef Michael Smith, he mentions a recipe where leaving the dough to rest for 18 hours removes the need to knead the bread. Is this a viable alternative? I've tried the recipe and found that the bread was more dense than a properly kneaded dough.</p>
","baking bread dough"
"54","How should I prepare Risotto","<p>I've been watching a lot of Hells Kitchen, and one of the signature dishes that Chef Ramsay has the chefs prepare is Risotto.  This seems like a simple enough dish but often times the seasoned chefs on the show get it wrong.  I'd like to try making this dish at home, so what is the technique I should use to ensure a tasty final result? </p>
","rice italian-cuisine risotto"
"57","How does a splash of vinegar help when poaching eggs?","<p>What does splashing in a shot of white vinegar to the simmering water do when <a href=""http://cooking.stackexchange.com/questions/11/how-should-i-poach-an-egg"" rel=""nofollow"" title=""back to the hen rack"">poaching an egg</a>?</p>

<p>Is it for taste or is it supposed to react in some way with the albumen?</p>
","eggs food-science vinegar poaching"
"61","What are the pros and cons of storing bread in various locations?","<p>Why should/shouldn't I store my bread in the fridge/freezer/breadbox/plastic bag/etc?</p>
","storage-method bread"
"62","What are some good resources for learning Knife Skills?","<p>What are some good resources for learning knife skills? Specifically, is there anywhere that I can see video demonstration of different slicing techniques and when those techniques are appropriate?</p>
","knife-skills resources learning cutting"
"66","How to calculate the calorie content of cooked food?","<p>I like to cook from scratch, and I'm currently trying to loose a few pounds. I know that cooked food is generally more calorific than raw food, so if I add up the calories of the ingredients I know it won't give an accurate result.</p>

<p>So my questions are two-fold:</p>

<p>How much difference is there between a raw food item and a cooked food item?</p>

<p>Is there a method to deduce the calorie content of cooked food (given the know values of its raw form) ?</p>
","nutrient-composition calories"
"68","Recommendations for spice organization strategies","<p>Spices have always been the hardest thing for me to keep track of in the kitchen. I'm interested in specific recommendations for </p>

<ol>
<li>hardware (containers, labeling, shelving, etc.) and </li>
<li>organization schemes (alphabetical? categories?) </li>
</ol>

<p>in order to make it easier to find the spices I'm looking for. </p>
","storage-method spices organization pantry"
"70","Shelf life of spices","<p>The common wisdom I've heard is that dried herbs and spices:</p>

<ul>
<li>have a shelf-life of about a year or 2</li>
<li>keep best in a cool dark place</li>
<li>will release more flavor when crushed</li>
</ul>

<p>That's fine but some spices are expensive. We have over different 50 jars on our spice rack and can't afford to replace them annually. Also, it's hard to believe that all herbs and spices are created equal.</p>

<p>What are some more specific guidelines regarding the shelf-life of herbs and spices? Which last longer? Which last less long? How much is shelf-life really affected by light or lack thereof? Do any actually become health hazards if left too long?</p>
","storage-method storage-lifetime spices"
"76","How do I convert between the various measurements?","<p>I found a recipe that's using one or more measurements that I don't recognize. How can I convert it to a unit that I use locally?</p>

<hr>

<p><sub>
<strong>Alternative question template: (to improve searchability):</strong><br>
How can I convert an Imperial weight or volume measurement (tsp, tbsp, cups, ounces, pints, quarts, gallons, pounds) to an equivalent Metric measurement (g, kg, mL, L)?
</sub></p>
","conversion measurements"
"81","How do I pound chicken (or other meat) without making a mess?","<p>Despite my best efforts, my kitchen (and sometimes the chicken) always looks like a war zone after pounding 8 or 10 breasts.  Maybe this is just a messy job, but I think there must be something I'm missing.</p>

<p>I've tried using mallets, both metal and wooden  The meat always gets stuck to the pounding surface and the mallet.  I've tried putting the meat inside a plastic sandwich bag or freezer bag; the bag is always ripping and falling apart before the meat is flat.  Wax paper is about the same.</p>

<p>I've also tried rolling pins.  Even got a ""non-stick"" one.  This way is even more hopeless for me, because the meat either slides around on the surface or sticks to the pin (doesn't matter if I use flour).</p>

<p>Surely there must be a combination of tools and techniques that would allow me to complete this task without requiring 20 minutes of constant cursing and an extra hour of cleanup.</p>

<p>Can anyone point me in the right direction?</p>
","chicken meat chicken-breast tenderizing"
"84","Is there a formula for converting pancake batter to waffle batter?","<p>I have a wonderful pancake recipe that I would like to convert into a waffle recipe.  Is there a generally accepted formula for doing this?  Based on other recipes I've seen, it looks like the amount of oil is the main difference.  Would more flour or other ingredients need to be added to compensate for additional oil?  Are there any specific pitfalls to avoid?</p>
","baking pancakes conversion waffle"
"85","Wok preparation and caring","<p>What is a good technique for initially seasoning a wok, keeping it seasoned, and preventing rust?</p>
","equipment wok seasoning-pans"
"87","How can I keep delicate food from sticking to the grill?","<p>When I grill fish or chicken, often much of the meat and/or skin ends up sticking to the grill. What's the best way to avoid this?</p>
","grilling"
"89","What can I do to help my avocados ripen?","<p>I bought some avocados recently, and one of them was rock hard when I tried to cut it.  I left it out for a couple days hoping it would ripen, but it didn't help.</p>

<p>What can I do to help my avocados ripen?</p>
","storage-method ripe avocados"
"97","How can I improve my barbecue sauce recipe?","<p>I've been trying to refine my BBQ sauce lately and I'm really curious if I can improve it, or if I'm mixing a sauce for a wrong purpose. The times I've made it, it have been used as a marinade for steaks, and a spread on the steaks while they've been on the grill, though if found the base of it as a ribglaze.</p>

<p>So far I have:</p>

<ul>
<li>A dash of Jack Daniels</li>
<li>2 cups of ketchup</li>
<li>1/2 cup of brown sugar</li>
<li>1 cup of cider winegar</li>
<li>A dash of orange juice</li>
<li>2 teaspoons of Worcesthershire sauce</li>
<li>3 clovers of garlic</li>
<li>1/2 teaspoon of dry mustard</li>
</ul>

<p>Am I using it ""wrong"" (debateble since you can't tell what's right and wrong anyway)...should I look more at a non-galizing sauce for a steak instead?</p>
","grilling sauce barbecue condiments"
"98","Digital recipes storage?","<p>What works well for storing recipes digitally? Software and web solutions are both welcome. </p>

<p>For me, the ideal solution would accept recipes from different sources (copy/paste, or email) in any format, and would automatically generate ingredient lists. It would be available from multiple devices (phone, iPad, computer) and would automatically prepare shopping lists. </p>
","organization software"
"101","What are convenient and reliable ways to make the starter for rye bread?","<p>The biggest issue with make good rye bread is to make the starter since it needs to rise in a very controlled temperature for some time. What are good and reliable ways to achieve this?</p>
","baking bread starter"
"105","Is there an alternative to cornstarch when used to thicken a pie filling","<p>I made a some pies a couple of days ago. The recipe called for cornstarch and it thicken the filling after it came out of the oven. The only thing is I could taste a bit of the cornstarch when I was eating the pies. I would just use less of it but I am afraid of making my pies to runny without the cornstarch. </p>

<p>Is there an alternative to cornstarch to thicken the pie filling or should I just use less and hope I still use enough?</p>
","substitutions baking pie cornstarch"
"106","Sniffing out a rotten egg from the dozen","<p>Is it possible to tell if an egg has gone off? </p>

<p>I am not referring to those eggs that have been especially brined to look like they've been sitting around for decades, but to fresh eggs you want to use and not feel like being punched in the face with a sweatier-than-thou sock.</p>

<p>Is there a trick to detect if an egg is rotten before opening up the shell?</p>
","food-safety eggs storage-lifetime"
"109","Why does a brown paper bag speed ripening?","<p>I often see this technique suggested as a way to speed ripening. Why does it?</p>

<p>Also, is there any data available on how fast it ripens comparatively?</p>
","storage-method food-science ripe"
"119","Is there a milk-free sour cream?","<p>Is there some kind of milk-free sour cream available, to use as substitute due to an allergy?</p>
","substitutions milk allergy sour-cream dairy-free"
"123","Can you hone a knife properly by using another knife?","<p>I recall seeing this in movies. Can it be called the poor man's steel?</p>
","equipment knives"
"125","What's the difference between pan frying, sauteing, and shallow frying?","<p>As I understand it, all of these terms refer to cooking food in a small amount of fat/oil. What exactly is the difference?</p>
","frying sauteing"
"134","What makes fleur de sel different from regular salt?","<p>Fleur de sel is the salt from the top of the pot when you heat salted water.</p>

<p>But what makes it different from the rest of the salt in the pot?</p>
","please-remove-this-tag salt classification"
"138","How long do you let a steak from the fridge come up to temperature, and when do you salt it?","<p>Before cooking a steak, you're supposed to let it sit out at room temperature. You're also supposed to salt it. What is the proper timing for these steps? How long do you let the steak come up to temperature, and how long before you cook it do you salt it?</p>
","meat salt steak"
"139","How to Store Fresh Herbs","<p>What is the best way to store fresh herbs like parsley or cilantro?  I find I have about the same luck with them whether they are left in a plastic bag or I put them in a cup of water.</p>
","storage-method herbs cilantro parsley"
"141","Which vinegars are essential to keep on hand?","<p>There seems to be a large variety of different vinegars called for in the various recipes I've been trying out lately. I've ended up with a cabinet full of half used bottles. That being said, which vinegars can I substitute for another in recipes? I'm hoping that there are two or three ""good enough"" vinegars I can keep on hand and buy in larger quantities.</p>
","substitutions vinegar pantry"
"143","Why do my burgers end up round?","<p>When I broil or grill my burgers, I end up with burgers that are round in the middle. </p>

<p>I grind my own beef blend and form my patties the same every time. When I cook my burgers in a pan I don't get the rounded burgers. </p>

<p>What makes the burgers rounded and smaller when broiling/grilling, but not with pan cooking?</p>
","meat hamburgers ground-beef"
"149","Once a month cooking","<p>I've heard of ""once a month cooking"" or ""freezer cooking,"" where you basically spend a day cooking and fill your freezer with the next month's worth of food. This could especially come in handy when preparing for a baby. (Take-out food gets boring REALLY fast.)</p>

<p>What are some tips and/or resources for once a month cooking?</p>

<p><em>Edit</em>: I suppose this need not be for cooking for an entire month <em>per se</em>. The idea is cooking in bulk ahead of time.</p>
","storage-method freezing bulk-cooking"
"150","How to dry oregano?","<p>I have oregano in my garden. But I only use it fresh.
How should I properly dry the oregano so I can get something similar to oregano found in the stores?</p>
","storage-method spices drying oregano"
"153","Is it generally better to cut chicken breast with or against the grain?","<p>I realize it may depend on what you're doing, but as a general rule, which is preferred and why?</p>
","chicken knife-skills"
"154","How do I ripen unripe oranges and grapefruits?","<p>Sometimes when I buy oranges or grapefruits I find out that they are rather unripe when I get them home. How do I ripen them?</p>
","fruit ripe citrus"
"164","When, if ever, are dried herbs preferable to fresh herbs?","<p>Sometimes I see a recipe call for dried herbs. If I have access to fresh herbs, should I go fresh instead? Is there any benefit in using dried herbs with some recipes?</p>
","herbs please-remove-this-tag comparisons"
"175","Is there an alternative to condensed milk?","<p>In Denmark we don't have condensed milk in our regular stores and I've actually only seen it in an UK-import store a few years ago. Is there an alternative to it or can you craft it with regular cooking equipment?</p>
","substitutions milk"
"183","Cutting boards: What are some general tips on purchasing and using a cutting board?","<p>I have heard various debates on the merits of wood versus synthetic cutting boards, and their affect on food safety, knife edges, and ease of cleaning and storage.</p>

<p>What are the pros and cons of the following and why?</p>

<ul>
<li>Wood versus plastic or other materials</li>
<li>Affect on food safety and cleanliness</li>
<li>Cost to purchase</li>
<li>Affect on knife edge and ease of use</li>
</ul>
","equipment knives cutting chopping cutting-boards"
"184","What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
","equipment knives"
"187","How to stop sweet/sugary dressings from ruining a baking dish?","<p>Through trial and error I've discovered that squeezing a fresh lime over roast parsnips (prior to roasting) make the end product absoutely sublime.</p>

<p>The problem however is that the sticky sweet lime juice can make the baking tray hell to clean, or in one pectacular instance of 'over cooking' ruined the non-stick baking tray.</p>

<p>Any suggestions to help stop honey glaze and other sweet / sugary dressings from ruining roast dishes?</p>

<p>Thanks.</p>

<p>P.S. Free free to close if this is off topic :) </p>
","baking equipment roast"
"190","Proper ratio of Water to Rice","<p>When making rice, what is the proper ratio of water that I should use?</p>
","rice"
"191","Which is a typically American way of seasoning spaghetti and other pasta?","<p>When I visit the States I see a lot of pasta and spaghetti in the supermarkets. I wonder which is the typical seasoning (sauce or similar) used by Americans when they cook spaghetti. Of course, when they don't cook Italian-style.</p>
","spaghetti american-cuisine pasta"
"197","Differences/Similarities between cinnamon and nutmeg","<p>I read a while ago that nutmeg and cinnamon are really similar and you can easily substitute one for the other. Yet many recipes call for both cinnamon and nutmeg so it seems like there must be some kind of difference.</p>

<p>What are the specific differences between cinnamon and nutmeg? And are they significant enough to justify buying both cinnamon and nutmeg?</p>
","spices"
"203","How to clean mushrooms?","<p>Some people say cleaning with water removes the taste from mushrooms. </p>

<p>But if I don't use water the mushrooms will carry a lot of dust.</p>

<p>Do you have any techniques for cleaning mushroom so I don't eat crap but don't spoil the mushroom?</p>
","mushrooms"
"216","Should I purchase and use a grease or oil splash screen?","<p>I use a sauce pan often for grilling chicken or frying bacon, and a lot of grease tends to splash out. There are fine mesh screens available with a handle designed to cover the pan without creating a seal.</p>

<p>Are these a worthwhile investment, or do they just wind up being one more item to clean?</p>
","frying equipment stove"
"221","Pepper spice varieties","<p>How many varieties of edible pepper spice there are? I know white, black, green and pink pepper, but I'm sure that around the world there are many more varieties. There is a comprehensive list or a book devoted to pepper and receipts with pepper?</p>
","spices pepper"
"222","How can I make cheap, smooth homemade Alfredo sauce?","<p>I've tried making Alfredo sauce several times based on a few online recipes.</p>

<p>It generally comes out pretty tasty, but also with one flaw: the sauce is grainy or gritty because the grated Parmesan cheese doesn't fully melt.  Doing searches online, most people seem to recommend starting with block Parmesan cheese and grating or shredding it at home.  However, at least at the stores around here, block Parmesan is much more expensive than the usual dried/grated stuff.</p>

<p>Does anyone have a technique for getting the cheaper stuff to melt smoothly into the sauce, or alternatively a cheaper source for the more suitable types of Parmesan?</p>
","sauce alfredo budget-cooking"
"223","Best meat replacements for a vegetarian/vegan?","<p>Let's compile a list of vegetarian/vegan meat replacements.</p>

<p>Generic replacements:</p>

<ul>
<li><a href=""http://en.wikipedia.org/wiki/Wheat_gluten_%28food%29"">Seitan</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Tofu"">Tofu</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Tempeh"">Tempeh</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Quorn"">Quorn</a></li>
<li><a href=""http://cooking.stackexchange.com/questions/440/a-vegan-alternative-to-quorn"">Quorn Vegan Alternatives</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Paneer"">Paneer</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Textured_vegetable_protein"">TVP</a></li>
</ul>

<p>Commercial fake meats:</p>

<ul>
<li><a href=""http://www.tofurky.com/"">Tofurky</a> (Roasts, Sausages, Deli Slices)</li>
<li><a href=""http://www.lightlife.com/index.jsp"">Lightlife</a></li>
<li><a href=""http://www.morningstarfarms.com/"">Morningstar</a></li>
<li><a href=""http://www.worthingtonfoods.com/"">Worthington Foods</a></li>
<li><a href=""http://www.bocaburger.com/"">Boca</a> </li>
</ul>

<p>Similar products (nutrition):</p>

<ul>
<li>Beans</li>
<li>Mushrooms (Portobello, oyster, trumpet, so many more…)</li>
</ul>
","substitutions vegetarian vegan kosher"
"227","For Pizza cooking at home. What is the best alternative to the pizza stone?","<p>For Pizza cooking at home. What is the best alternative to the pizza stone?</p>
","baking pizza"
"228","How do you remove the pit from a mango?","<p>I've only attempted this once, and it was a complete disaster. Can anyone provide some tips for a beginner?</p>
","mango"
"240","Removing fat from a recipe","<p>If I see a recipe I like and it includes a marinade or sauce where butter or oil is a significant ingredient, is there any way to substitute that fat and preserve a similar taste and texture? For example, I recently cooked a citrus shrimp recipe and simply skipped 90% of the recommended oil and it tasted pretty good, but I don't know what I may have missed out on. I know fat is pretty fundamental to food, so maybe the answer is no.</p>
","substitutions please-remove-this-tag fats"
"245","How can I keep meringue pie-topping from falling?","<p>Nothin' better on a hot summer afternoon than a slice of cold pie... And nothin' says ""summer"" like a great big fluffy meringue topping over that slab of rhubarb/lemon/banana custard. </p>

<p>Unfortunately, mine haven't been turning out that way. They bake up nicely, but fall within a half hour of baking. </p>

<p>I whip egg whites mixed with 1/8 tsp cream of tartar (per egg) until they reach soft peaks, then mix in 1 tablespoon of sugar (per egg) while continuing to beat until it gets stiff - then spread over the hot pie filling and bake for 10-15 minutes at 400F. Topping doubles in size, then falls as it cools, ending somewhat less impressive than it started.</p>

<p>Any suggestions?</p>
","baking eggs pie meringue"
"254","How can I tell if a fish can safely be prepared ""crudo""?","<p>Is there something you can look for? Am I left to the seller's word and my own discernment?</p>
","food-safety fish sushi crudo"
"255","How to fix food that got extra salty?","<p>I imagine this depends on what the food is. With spaghetti, you can add water or change water if you detect it on time. But what about grilled meat? Or a tomato sauce?</p>
","salt flavor"
"261","How do you clean a cast iron skillet?","<p>I have a seasoned cast iron skillet, and I don't want to mess up the seasoning when I'm cleaning it.  What do I use and what don't I use to get it back to clean?</p>

<p>I've heard not to use soap and to make sure it is dry, but nothing beyond that.</p>
","equipment cleaning cast-iron maintenance"
"263","What's the easiest dough for a Lemon Pie that still tastes good?","<p>What dough would you recommend for when you need to wrap up a lemon pie fairly quickly?</p>
","baking dough pie"
"266","What are the advantages and disadvantages of various sugars/substitutes?","<p>Such as:</p>

<ul>
<li>Splenda</li>
<li>Artificial Sweeteners</li>
<li>Sugar ""In the Raw""</li>
<li>Honey</li>
<li>Stevia</li>
<li>Molasses</li>
</ul>

<p>Can they be used interchangeably in recipes or do they have to be used at different proportions?Aside from nutritional differences, can I expect drastically different flavors?</p>
","substitutions sugar"
"267","How do you properly cook a steak?","<p>I love steaks so much, that I would like to get a green card and live in the States just to enjoy good steaks whenever I want.</p>

<p>When I try to cook a steak at home (I live in Italy), it always turns out burned outside and almost totally raw inside. Actually only a thin layer is cooked (or I should say carbonized).</p>

<p>If I try to lower the temperature of the grill pan, I get an extremely dried meat that resembles cork.</p>

<p>So, which are the basics for properly cooking a steak (say, to a medium-well grade)?</p>
","meat steak basics"
"270","How can I prevent pan fried chicken from becoming too chewy?","<p>Every time I cook boneless/skinless chicken breast in a pan over the stove-top it seems to end up slightly chewy. What am I doing wrong?</p>
","chicken frying chicken-breast"
"274","Is there any difference between chopped and crushed garlic in cooking?","<p>Often recipes say to chop garlic, but I usually cheat and just crush it as it's quicker. Is there any difference in doing this? Will it have much of an effect on the flavour of the dish?</p>
","knife-skills garlic"
"291","Unnecessary kitchen gadgets: a reference","<p>There are a lot of advertised tools and electronic gadgets for every field; the kitchen is no exception.</p>

<p>In my experience, there are a lot of useful tools for specific purposes (a garlic press, for example) but there are also a lot of seemingly useless ones.</p>

<p>A <strong>useless</strong> gadget or tool is defined as one that</p>

<ul>
<li>does not actually help make the task it was designed for easier</li>
<li>may cost more than the proper tool or set of tools (or the technique)</li>
<li>unnecessarily complicates preparation</li>
<li>may incur injury or increase likelihood of injury</li>
<li>something that gathers dust and <em>never</em> gets used</li>
</ul>

<p>So, list any that you have encountered and warn others to steer clear of, and include the reason why. This is a community wiki.</p>
","equipment"
"292","Precautions making carpaccio","<p>I saw in TV chefs making carpaccio.</p>

<p>They get a nice raw meat and fillet them in thin pieces.</p>

<p>Then they make a sauce and side dishes.</p>

<p>Isn't eating this raw meat dangerous?</p>
","meat raw-meat carpaccio"
"294","What is the functional difference between imitation vanilla and true vanilla extract?","<p>When baking or using vanilla, most recipes call for vanilla extract. In the supermarket you can find imitation vanilla flavoring for less money. Obviously the imitation is meant to be as close to the real thing as possible, but:</p>

<ul>
<li>Is there a detectable difference between imitation vanilla and vanilla extract?</li>
<li>Do any issues arise in baking/cooking resulting from using one or the other?</li>
</ul>
","substitutions vanilla"
"298","How do you open a coconut?","<p>Without killing yourself or others?</p>
","knife-skills coconut"
"301","What vegan substitutes are available for cheese?","<p>Suppose I want a cheesy-tasting sauce that is vegan. How could I obtain this flavor (or something close to it) without using any actual milk or cheese?</p>
","substitutions cheese vegan"
"306","Why do burgers sometimes fall apart on the grill?","<p>Sometimes when cooking a burger I have had it completely fall apart for no apparent reason. Is this due to using a ground meat that is too lean? I don't add anything to the meat and don't spend too much time working the meat in forming the patty.</p>
","grilling meat hamburgers"
"315","How should I care for my knives?","<p>I've finally put down the money to buy a quality knife and it's sharpness is amazing!</p>

<p>How do I take care of it so that the edge lasts and the knife stays sharp?</p>
","equipment knives maintenance"
"316","When baking, is it better to use a gas or electric oven?","<p>I'm looking for an oven and wanted to know if there is any difference between a gas or electric oven when it comes to baking things like cakes, biscuits and scones?</p>
","baking equipment shopping oven"
"324","What safety precautions should be taken when attempting to flambe at home?","<p>Is this one of those things that unless you've been taught by an experienced person and you know what you're doing you probably just shouldn't try? If I did want to try, what precautions should I take? Is this a valid cooking method or is it mostly just done as an impressive visual effect?</p>
","fire flambe"
"326","Can cheesecake be cooked without a spring-form pan?","<p>I don't have a spring form pan but I watched a show where they seemed to cook their cheesecakes in regular pans. Is this possible or did I just not notice that they were in fact spring form pans?</p>

<p>I like cheesecake but don't really have the space to add another specialty pan to the kitchen, so any alternatives would be worth considering.</p>

<p>This is referring to a traditional baked cheesecake.</p>
","equipment baking cheesecake"
"328","What is the difference between various cuts of steak?","<p>I'm sure each has their own differences in texture (and cost) but don't really know exactly what they are or what they are best used for. I like bone in ribeyes so I haven't bothered to try experimenting with other cuts such as:</p>

<ul>
<li>Boneless Ribeye</li>
<li>T-Bone</li>
<li>New York Strip</li>
<li>Sirloin</li>
<li>Porterhouse</li>
<li>Delmonico</li>
<li>Filet</li>
<li>Filet Mignon</li>
<li>Rib</li>
</ul>

<p>I'm mostly looking at this from the perspective of grilling.</p>
","beef steak ingredient-selection"
"336","Onion soup: How to chop the onion and what kind of cheese to put in it?","<p>What is your preferred type of cut for the onion in onion soup?</p>

<p>And how do you put the cheese? A deep chunk submerged in each plate, on top? What kind of cheese do you like?</p>
","cheese knife-skills onions soup"
"337","Substitution for Suet in Christmas Pudding","<p>I'm interested in making a traditional Christmas pudding but I've never seen suet available in the stores around here. Assuming I can't find any, what would be a good substitution?</p>
","substitutions beef fats"
"339","What are some good substitutes for salt for those on low sodium diets?","<p>I try to keep my sodium intake fairly low to ensure that my blood pressure doesn't get too high.</p>

<p>Salt is such a common part of cooking, and it's especially difficult to cook Asian-style food without a lot of salt due to its reliance on salty sauces such as soy sauce, oyster sauce, etc.</p>

<p>I have tried salt substitutes such as potassium chloride but that can be particularly nasty on the palate, giving the food a chemical taste.</p>

<p>What are some good substitutes for salt in food?</p>
","substitutions salt sodium"
"344","How thoroughly do you need to clean the inside of a chicken before baking it?","<p>My wife's family breaks apart the inside and cleans out what is in between the bones. My family just rinses the inside and then bakes it. Do you need to be super thorough when cleaning a chicken or is the baking process going to kill all the bacteria?</p>
","chicken food-safety"
"352","Does it take a special type of blender to make smoothies?","<p>Or am I just doing it wrong? I have what I consider a typical blender that you might find in any American kitchen. It's a glass container with a cross shaped blade. The problem I have is that pieces often get <em>underneath</em> the blade and don't get blended at all. With smoothies in particular as well, if it's too thick the blade tends to spin too fast and keep everything pushed out to the sides and not actually blend. This is mostly a problem if trying to make a thick milkshake.</p>

<p>I have tried adding in thing like fruit while the blender is going in hopes that it wouldn't make it to the bottom without being blended but that doesn't seem to work really well. I've been reduced to blending multiple times (starting with a small amount of well blended material and slowly adding in the ""chunks"" from the previous attempt while the blender is running), but that is fairly time consuming.</p>
","equipment blender smoothie"
"356","What is the difference between various types of flour?","<p>Is there a difference between the various types of flour that you see in the stores (i.e. Cake, Bread, and All-Purpose?  Is it really necessary to stock 3 types of flour in my pantry or is this just a scheme from the manufacturers to get more money?</p>
","baking flour comparisons shopping pantry"
"362","My Baba Ghanoush is too watery","<p>I tried cooking <a href=""http://en.wikipedia.org/wiki/Baba_ghanoush"">Baba Ghanoush</a> for the first time and though tasty I didn't quite get the expected results.</p>

<p>It was watery instead of creamy like the ones I had had.</p>

<p>I used equal parts of eggplant and tahini and a bit of lemon juice and garlic.</p>

<p>Now I wonder if I used too much eggplant or I didn't cook the eggplant enough as it was like a sponge full of water when I cut it.</p>

<p>How much time and at which temperature should I bake the eggplant? Or is there some external sign to know it's ready to be used for Baba ganoush? To me it looked and tasted ""well done"" as it was.</p>
","please-remove-this-tag eggplant middle-eastern-cuisine"
"367","How does the way that I cut my garlic affect the taste of my food?","<p>I've seen recipes that called for coarsely chopped garlic and recipes that called for finely chopped or minced garlic. What affect does that cut have on the final taste of my dish? What about crushed garlic?</p>
","food-science knife-skills flavor garlic"
"368","Mayonnaise Substitutes","<p>I love pasta salads, tuna salad, sandwiches, and sauces; but I don't really like the texture of mayonnaise or the feeling I get after eating mayonnaise.</p>

<p>What mayonnaise substitutes have you found work well? For what dishes do you believe your substitute to be appropriate?</p>
","substitutions flavor mayonnaise"
